Title,First line,Page,Connexion,Glimpse,Bicentennial,NewfoundHills
Lovely Vine,"Behold a lovely vine,",2,Connexion,Glimpse,Bicentennial,
Crostic,Jesus our great high priest was slain,3,,,Bicentennial,
Shouting Hymn,God's pow'r and wisdom is display'd,5,Connexion,Glimpse,,
"Tedious Hour, The",How tedious and tasteless the hours,6,,,,
"Young Convert, The",When converts first begin to sing,7,,Glimpse,Bicentennial,
Endless Day,Hark; how the gospel trumpet sounds,8,Connexion,Glimpse,Bicentennial,
Invitation,Come ye sinners poor and wretched,9,Connexion,,Bicentennial,
Prince of Peace,"Jesus, Lord we look to thee",10,Connexion,,,
Harvest Hymn,The fields are all white,11,,Glimpse,,
Melodious Sonnet,"Come, thou fount of ev'ry blessing",12,,,,NewfoundHills
Knowledge of Jesus,"Vain, delusive world, adieu",13,Connexion,,,
Love to Jesus,"Oh, when shall I see Jesus",14,Connexion,,,
Free Grace,The voice of free grace,15,,Glimpse,Bicentennial,
"Enquirer, The","Oh, that some kind one would tell me",17,Connexion,,,
"New Union, The","Attend ye saints and hear me tell,",18,,,,
Unity,Let strife forever cease,19,,,,NewfoundHills
Conviction,"Ye brave and bold, ye brisk and dull",20,,,,NewfoundHills
"True Penitent, The",Hark; hear the sound on earth is found,21,,,,
"Impartial Song, The","The great God of love, has shewn us the way",22,,,,
Born to Die,Thou God of glor'ous majesty,23,,,,NewfoundHills
I Am that I Am,I am that I am,24,,,,NewfoundHills
Sinful Youth,"Remember, sinful youth, you must die",25,Connexion,,,
Hope,O glor'ous hope perfect love,26,,,,NewfoundHills
Hallelujah Hymn,That name to me sounds ever sweet,27,Connexion,,,
"Piglrim's Song, The",Children of the Heav'nly King,28,,,,NewfoundHills
Charity,"Oh; Jesus, my Savior, to thee I submit",29,,,,NewfoundHills
"Wandering Pilgrim, The ","Wand'ring pilgrims, mourning christians",30,,,,NewfoundHills
Honor to the Hills,Through all the world below,31,,Glimpse,,
Joy,My soul doth magnify the Lord,32,Connexion,Glimpse,Bicentennial,
Friendly Meeting,"Well met, dear friends, in Jesus' name",33,,,,
Begone Unbelief,"Begone unbelief,",34,Connexion,Glimpse,,
Celestial Watering,"Savior, visit thy plantation",35,Connexion,Glimpse,,
"Weary Traveler, The","Come all ye weary travelers,",36,,,,NewfoundHills
Emmanuel,As Shepherds were guarding…,37,,,,
"General Doom, The","Behold with awful pomp,",39,,,,NewfoundHills
Christian Uniform,Dress'd uniform Christ's soldiers are,40,,,Bicentennial,
