Source: http://resources.texasfasola.org/tunecomparisonindex.html

Tune	Page in Denson (2006)
All Is Peace and Love	547	
Allen	576	
Almighty Father	456	
Amazing Love	482	
America	484	
Amherst	314	
And Live Through Endless Day	552	
Asleep in Jesus	385	
At the Golden Gates	476	
Augusta	35	
Autauga	322	
Baldwin	274	
Ballerma	293	
Beatrice	443	
Beautiful Home	263	
Beautiful River	449	
Behold A Sinner	479	
Bethany	488	
Bidding Farewell to Loved Ones	539	Verse is a modification of the verse of Passing Away (Cooper, pg. 207/Denson, pg. 445)
Bitter Cup, The	497	A major key variation and modification of the minor key tune Repentance (Cooper & Denson, pg. 214)
Blessed Forever	348	
Blessed Thought	316	
Brown	511	
Bruce's Address	152	
Calling Me	561	
Calvary	78	
Canaan's Peaceful Shore	490	
Carry Me Home	386	
Cause of Christ, The	325	
Charming Sound	446	
Chicago	140	
Child of Thine	567	A major key variation and modification of the minor key tune Grantville (Cooper & Denson, pg. 423)
Christ Jesus Died for Sinners	485	
Christian's Home, The	37	
Christian's Love, The	95	
Christian's Race, The	187	
Christian's Rest, The	284	The melody of the verse is a modified version of Blooming Youth (Cooper, pg. 442/Denson, pg. 176)
City of Light	199	
Clark	453	
Cleansing Fountain	505	
Cleansing Fountain, The	382	
Closer Walk With God	491	
Come and Go with Me to Heaven	153	
Come On, My Fellow Pilgrims	471	A minor key variation and modification of the major key tune Sardis (Cooper, pg. 470/Denson, pg. 460)
Come On, My Friends	271	
Come, Friends, Go With Me	206	
Consolation	50	
Cross for You and Me	279	
Crown of Life for Me, A	160	
Crucified Saviour, The	84	
Crucifixion, The	232	
Dear Name! The Rock on Which I Stand	367	
Duke Street	264	
Dumas	426	
Eden	154	
Eden of Love	39	
Edwards	197	
Eliza	495	
Eureka	378	
Evening	70	
Fallen by the Way	114	
Farewell, Vain World	95	
Farther On	546	
Finest Flower, The	411	
Forever Blest	577	
Fountain of Life	342	
Fountain of Life, The	46	
Fountain, The	303	
Ganges	295	
Gates of Paradise, The	516	
Gathering Home	33	
Glory of the Cross, The	507	
Glory Shone Around	98	
God of Love, The	548	
God's Eternal	357	
God's Promise	301	
God's Unchanging Hand	530	
God's Wondrous Love	504	
Golden Crown to Wear, A	521	
Gone Home	550	
Gone to a Better World	34	
Gone to Heaven	97	
Gone to Rest	568	
Good Physician, The	176	
Gospel Feast, The	498	A major key variation and modification of the minor key tune Windham (Cooper & Denson, pg. 38)
Gospel Invitation, The	181	
Gospel Message	174	
Gospel Sound, The	528	
Grafton	494	Earlier version of the modified tune: Showers of Blessings (Denson, pg. 528)
Gravity	266	
Great Roll Call, The	229	
Greenland	364	
Guiding Spirit	86	Modified version of earlier tune: Manchester (Denson, pg. 392)
Happy Day	292	
Hatfield	327	
Haw Ridge	336	
He Died on the Cross	404	
He Leads Me All the Way	569	
Heavenly Grace	527	
Heavenly Joy	526	
Heavenly Land	124	
Heavenly Mansion, The	432	
Hedgeburg	267	
Hester	336	
Hill of Zion	445	
Hinder Me Not	355	
Hingham	243	
Hocutt	464	
Holy Land	154	
Hosanna	178	
Humble Penitent	436	
Humble Pleadings	380	
I Have a Precious Friend	545	
I Have No Mother Now	363	
I Love Thy Kingdon	448	
I Love to Sing of Jesus	514	
I Will Shout and Sing in Glory	116	
I'll Praise My Master	558	
I'm Going Home to Die No More	541	
I'm Wondering To and Fro	393	
Infant Request, The	436	
It Is a Wonder If I Am Saved	347	
Jesus Died for Me	511	
Jesus Is Mine	563	
Jesus Loves to Answer Prayer	177	
John 4:14	133	
