Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
105 Jewett	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008			4465615	236			1		2008	5/1/08 1:27 PM	5/1/08 1:11 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:01 105 Jewett.mp3
29b Tribulation	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3343439	166			2		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:02 29b Tribulation.mp3
410t The Dying Californian	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2951404	142			3		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word		1	5/1/08 1:35 PM				HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:03 410t The Dying Californian.mp3
412 New Hosanna	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3325467	165			4		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:04 412 New Hosanna.mp3
193 Huntington	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3362664	167			5		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:05 193 Huntington.mp3
99 Gospel Trumpet	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2951813	142			6		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word		1	5/1/08 1:37 PM				HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:99 Gospel Trumpet.mp3
466 Haynes Creek	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2662166	124			7		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:07 466 Haynes Creek.mp3
162 Plenary	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	4150096	217			8		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:08 162 Plenary.mp3
410b Mutual Love	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2682646	125			9		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:09 410b Mutual Love.mp3
208 Traveling On	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2275137	100			10		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:10 208 Traveling On.mp3
