Abbrev	line in data file	City	State/Provnce/Co	Country	Longitude	Latitude
	154	Toronto	Ontario	Canada	-79.62	43.65
	131	Waterville	Quebec	Canada	-71.41	45.26
	217	Haworth	England	United Kingdom		
	71	Leicestershire	England	United Kingdom		
	172	Letchworth Garden City	England	United Kingdom		
	214	Nottingham	England	United Kingdom		
	117	Oxford	England	United Kingdom		
AL	122	Anniston	Alabama	USA	-85.826664	33.663003
AL	62	Arab	Alabama	USA	-86.498613	34.327863
AL	133	Arab	Alabama	USA	-86.498613	34.327863
AL	198	Arab	Alabama	USA	-86.498613	34.327863
AL	80	Ashland	Alabama	USA	-86.498613	34.327863
AL	205	Attalla	Alabama	USA	-86.098413	34.009818
AL	8	Auburn	Alabama	USA	-85.480823	32.597684
AL	11	Bay Minette	Alabama	USA	-87.777183	30.883446
AL	109	Birmingham	Alabama	USA	-86.81274	33.524755
AL	220	Birmingham	Alabama	USA	-86.81274	33.524755
AL	221	Birmingham	Alabama	USA	-86.81274	33.524755
AL	73	Blount County	Alabama	USA	-86.554768	33.978461
AL	77	Blountsville	Alabama	USA	-86.588778	34.081911
AL	6	Boldo	Alabama	USA	-87.285406	33.819888
AL	42	Boldo	Alabama	USA	-87.285406	33.819888
AL	92	Chambers County	Alabama	USA	-85.288745	32.891233
AL	116	Cherokee County	Alabama	USA	-85.62193	34.184158
AL	54	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	57	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	66	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	74	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	169	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	193	Cleburne County	Alabama	USA	-85.511937	33.647948
AL	43	Collinsville	Alabama	USA	-85.861523	34.265432
AL	67	Collinsville	Alabama	USA	-85.861523	34.265432
AL	159	Collinsville	Alabama	USA	-85.861523	34.265432
AL	59	Corner	Alabama	USA	-86.82805	33.527872
AL	197	Corner	Alabama	USA	-86.82805	33.527872
AL	110	Cullman	Alabama	USA	-86.844996	34.177508
AL	128	Cullman	Alabama	USA	-86.844996	34.177508
AL	102	Cullman County	Alabama	USA	-86.830179	34.155603
AL	137	Cullman County	Alabama	USA	-86.830179	34.155603
AL	152	Cullman County	Alabama	USA	-86.830179	34.155603
AL	91	Dadeville	Alabama	USA	-85.764288	32.832059
AL	21	Daviston	Alabama	USA	-85.639164	33.055251
AL	138	Daviston	Alabama	USA	-85.639164	33.055251
AL	44	Double Springs	Alabama	USA	-87.40439	34.151642
AL	182	Double Springs	Alabama	USA	-87.40439	34.151642
AL	208	Double Springs	Alabama	USA	-87.40439	34.151642
AL	89	Douglas	Alabama	USA	-86.319967	34.171631
AL	81	Dutton	Alabama	USA	-85.915563	34.607639
AL	185	Dutton	Alabama	USA	-85.915563	34.607639
AL	121	Fayette	Alabama	USA	-87.832358	33.692068
AL	146	Fayette	Alabama	USA	-87.832358	33.692068
AL	108	Fayette County	Alabama	USA	-87.751725	33.747077
AL	168	Fayette County	Alabama	USA	-87.751725	33.747077
AL	7	Fruithurst	Alabama	USA	-85.431759	33.731103
AL	68	Goodwater	Alabama	USA	-86.053043	33.059988
AL	177	Goodwater	Alabama	USA	-86.053043	33.059988
AL	129	Gordo	Alabama	USA	-87.903729	33.321461
AL	140	Gum Pond	Alabama	USA	-86.91892	34.507018
AL	72	Haleyville	Alabama	USA	-87.618978	34.230131
AL	150	Haleyville	Alabama	USA	-87.618978	34.230131
AL	90	Heflin	Alabama	USA	-85.582701	33.643754
AL	155	Heflin	Alabama	USA	-85.582701	33.643754
AL	31	Henagar	Alabama	USA	-85.742921	34.6337
AL	101	Henagar	Alabama	USA	-85.742921	34.6337
AL	124	Henagar	Alabama	USA	-85.742921	34.6337
AL	75	Huntsville	Alabama	USA	-86.596296	34.712341
AL	1	Ider	Alabama	USA	-85.673983	34.703941
AL	60	Ider	Alabama	USA	-85.673983	34.703941
AL	161	Ider	Alabama	USA	-85.673983	34.703941
AL	162	Ider	Alabama	USA	-85.673983	34.703941
AL	191	Ider	Alabama	USA	-85.673983	34.703941
AL	15	Jacksonville	Alabama	USA	-85.760467	33.815766
AL	173	Jacksonville	Alabama	USA	-85.760467	33.815766
AL	30	Jefferson County	Alabama	USA	-86.82805	33.527872
AL	163	Jefferson County	Alabama	USA	-86.82805	33.527872
